"Planning_Area","Subzone","Latitude","Longitude"
"Queenstown","Mei Chin",1.29347230246,103.803227007
"Queenstown","National University Of Singapore",1.29599490429,103.776610819
"Queenstown","OneNorth",1.29822028567,103.791080198
"Queenstown","Pasir Panjang 1",1.28662268778,103.780101074
"Queenstown","Pasir Panjang 2",1.27672379058,103.796136484
"Queenstown","Port",1.28236556525,103.77521694
"Queenstown","Queensway",1.28852575758,103.798889282
"Queenstown","Singapore Polytechnic",1.31134897434,103.777175003
"Queenstown","Tanglin Halt",1.30126468921,103.796706811
"River Valley","Institution Hill",1.2940158539,103.837500397
"River Valley","Leonie Hill",1.29793980598,103.834063829
"River Valley","One Tree Hill",1.30172627381,103.827168567
"River Valley","Oxley",1.29711287956,103.840528097
"River Valley","Paterson",1.30125218175,103.831605207
"Rochor","Bencoolen",1.30200473726,103.851281072
"Rochor","Farrer Park",1.30916383358,103.852128927
"Rochor","Kampong Glam",1.30226289678,103.8596908
"Rochor","Little India",1.30678335006,103.854052653
"Rochor","Mackenzie",1.30624018739,103.848414336
"Rochor","Mount Emily",1.30241070302,103.847544856
"Rochor","Rochor Canal",1.30403532281,103.857523471
"Rochor","Selegie",1.30215315362,103.849648125
"Rochor","Sungei Road",1.30569910135,103.856692883
"Rochor","Victoria",1.29966360621,103.852989616
"Seletar","Pulau Punggol Barat",1.4251691934,103.878698312
"Seletar","Pulau Punggol Timor",1.41904061128,103.8910875
"Seletar","Seletar",1.40899508421,103.881586529
"Seletar","Seletar Aerospace Park",1.41235799025,103.866482994
"Sembawang","Admiralty",1.45338818339,103.825152759
"Sembawang","Sembawang Central",1.44637281157,103.817761416
"Sembawang","Sembawang East",1.44750107281,103.831421995
"Sembawang","Sembawang North",1.45699749291,103.815695235
"Sembawang","Sembawang Springs",1.44095578645,103.825022834
"Sembawang","Sembawang Straits",1.45867396457,103.83648596
"Sembawang","Senoko North",1.46377727425,103.803357142
"Sembawang","Senoko South",1.45349867462,103.807534572
"Sembawang","The Wharves",1.4632162579,103.820154846
"Sengkang","Anchorvale",1.39443671049,103.889197065
"Sengkang","Compassvale",1.38490265944,103.889967044
"Sengkang","Fernvale",1.39516998908,103.876506947
"Sengkang","Lorong Halus North",1.3816782387,103.910768652
"Sengkang","Rivervale",1.38761273787,103.905003547
"Sengkang","Sengkang Town Centre",1.39159521894,103.897691046
"Sengkang","Sengkang West",1.39553474794,103.863150921
"Serangoon","Lorong Chuan",1.34847121217,103.863220599
"Serangoon","Seletar Hills",1.38347519094,103.866358859
"Serangoon","Serangoon Central",1.35223303902,103.870675244
"Serangoon","Serangoon Garden",1.3627383542,103.866662838
"Serangoon","Serangoon North",1.37438117314,103.873384136
"Serangoon","Serangoon North Industrial Estate",1.37478448736,103.864758529
"Serangoon","Upper Paya Lebar",1.34656679391,103.877047287
"Simpang","Pulau Seletar",1.4435442755,103.864868488
"Simpang","Simpang North",1.44716140515,103.845797553
"Simpang","Simpang South",1.4344660461,103.856393596
"Simpang","Tanjong Irau",1.45424160186,103.850927879
"Singapore River","Boat Quay",1.28735460113,103.848189061
"Singapore River","Clarke Quay",1.28959933636,103.844579166
"Singapore River","Robertson Quay",1.29032908346,103.836778913
"Southern Islands","Sentosa",1.24972128593,103.829669992
"Straits View","Straits View",1.27125165978,103.858773194
"Sungei Kadut","Gali Batu",1.39998843475,103.762915338
"Sungei Kadut","Kranji",1.43432802308,103.759335871
"Sungei Kadut","Pang Sua",1.41262047352,103.748272494
"Sungei Kadut","Reservoir View",1.43174231316,103.746758594
"Sungei Kadut","Turf Club",1.41878066207,103.763539581
"Tampines","Simei",1.34067417214,103.954004608
"Tampines","Tampines East",1.35443512161,103.951233066
"Tampines","Tampines North",1.36624467651,103.939025652
"Tampines","Tampines West",1.34852869264,103.93594924
"Tampines","Xilin",1.32924702779,103.969095689
"Tanglin","Chatsworth",1.29703461507,103.823402263
"Tanglin","Nassim",1.3138608469,103.82435728
"Tanglin","Ridout",1.30343427502,103.811468698
"Tanglin","Tyersall",1.31458674408,103.812945338
"Tengah","Tengah",1.36384254021,103.728753977
"Toa Payoh","Bidadari",1.34110393554,103.874944713
"Toa Payoh","Boon Teck",1.33526864187,103.853025159
"Toa Payoh","Braddell",1.34053896496,103.849596891
"Toa Payoh","Joo Seng",1.33659746641,103.882326553
"Toa Payoh","Kim Keat",1.33188761631,103.858636359
"Toa Payoh","Lorong 8 Toa Payoh",1.34126171105,103.857102043
"Toa Payoh","Pei Chun",1.33678993731,103.858606955
"Toa Payoh","Potong Pasir",1.33305604285,103.86563786
"Toa Payoh","Sennett",1.3332557183,103.873623257
"Toa Payoh","Toa Payoh Central",1.33264104361,103.845985926
"Toa Payoh","Toa Payoh West",1.33992257032,103.841793723
"Toa Payoh","Woodleigh",1.34003589625,103.866300005
"Tuas","Tengeh",1.33847647671,103.650248643
"Tuas","Tuas Bay",1.3183378374,103.643914659
"Tuas","Tuas North",1.32674591798,103.651245061
"Tuas","Tuas Promenade",1.33198543529,103.634908725
"Tuas","Tuas View",1.30115452842,103.633425282
"Tuas","Tuas View Extension",1.26958296064,103.620363085
"Western Water Catchment","Western Water Catchment",1.38212976818,103.689729797
"Woodlands","Greenwood Park",1.44729464999,103.784869571
"Woodlands","Midview",1.4398884999,103.791531658
"Woodlands","North Coast",1.44754450135,103.774187622
"Woodlands","Senoko West",1.45117166719,103.796669579
"Woodlands","Woodgrove",1.42927937396,103.778551911
"Woodlands","Woodlands East",1.44124987799,103.801927307
"Woodlands","Woodlands Regional Centre",1.43860198459,103.784535653
"Woodlands","Woodlands South",1.42950431375,103.79386651
"Woodlands","Woodlands West",1.437463649,103.775651993
"Yishun","Khatib",1.41799942647,103.828651632
"Yishun","Lower Seletar",1.40905846684,103.846236849
"Yishun","Nee Soon",1.40751628058,103.814643513
"Yishun","Northland",1.43809471362,103.837996503
"Yishun","Springleaf",1.40140910975,103.824060693
"Yishun","Yishun Central",1.42670524631,103.837659412
"Yishun","Yishun East",1.42790245918,103.846587187
"Yishun","Yishun South",1.41846051722,103.837816444
"Yishun","Yishun West",1.4311390462,103.831011589
